2025-03-17 00:54:42.483 | INFO     | ibkr_single_scan:fetch_market_data:49 - Fetching data for AAPL on 1H timeframe using IBKR
2025-03-17 00:54:42.617 | INFO     | trading_agents.utils.ibkr_connector:fetch_historical_data:210 - Fetched 147 1H data points for AAPL from IBKR
2025-03-17 00:54:42.617 | INFO     | ibkr_single_scan:fetch_market_data:56 - Fetched 147 data points for AAPL from IBKR
2025-03-17 00:54:42.617 | INFO     | non_prefect_setup_scanner:find_breaker_blocks:73 - Scanning for breaker blocks in data with 147 rows
2025-03-17 00:54:42.618 | INFO     | non_prefect_setup_scanner:find_breaker_blocks:171 - Found 0 new breaker blocks and 0 active retests
2025-03-17 00:54:42.618 | INFO     | non_prefect_setup_scanner:find_fair_value_gaps:393 - Scanning for fair value gaps in data with 147 rows
2025-03-17 00:54:42.623 | INFO     | non_prefect_setup_scanner:find_fair_value_gaps:531 - Found 1 fair value gaps
2025-03-17 00:54:42.623 | INFO     | ibkr_single_scan:run_single_scan:144 - Found 1 fair value gaps for AAPL on 1H timeframe
2025-03-17 00:54:42.623 | INFO     | non_prefect_setup_scanner:find_sweep_engulfers:541 - Scanning for Sweep Engulfer patterns in AAPL (1H) data with 147 rows
2025-03-17 00:54:42.623 | INFO     | sweep_engulfer_agent:detect_sweep_engulfer:122 - Scanning for Sweep Engulfer patterns in AAPL (1H) with 147 rows
2025-03-17 00:54:42.632 | INFO     | non_prefect_setup_scanner:find_sweep_engulfers:555 - No Sweep Engulfer patterns found in AAPL (1H)
2025-03-17 00:54:42.632 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:568 - Scanning for Sweeping Engulfer patterns in AAPL (1H) data with 147 rows
2025-03-17 00:54:42.635 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-14 09:30:00-05:00
2025-03-17 00:54:42.635 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-14 11:00:00-05:00
2025-03-17 00:54:42.635 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bearish Sweeping Engulfer in AAPL at 2025-02-14 12:00:00-05:00
2025-03-17 00:54:42.636 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-14 15:00:00-05:00
2025-03-17 00:54:42.636 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-18 09:30:00-05:00
2025-03-17 00:54:42.637 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-19 14:00:00-05:00
2025-03-17 00:54:42.637 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-20 12:00:00-05:00
2025-03-17 00:54:42.638 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-24 09:30:00-05:00
2025-03-17 00:54:42.639 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-25 14:00:00-05:00
2025-03-17 00:54:42.640 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-27 09:30:00-05:00
2025-03-17 00:54:42.640 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-02-27 10:00:00-05:00
2025-03-17 00:54:42.640 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bearish Sweeping Engulfer in AAPL at 2025-02-27 11:00:00-05:00
2025-03-17 00:54:42.641 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bearish Sweeping Engulfer in AAPL at 2025-02-28 13:00:00-05:00
2025-03-17 00:54:42.642 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bullish Sweeping Engulfer in AAPL at 2025-03-04 10:00:00-05:00
2025-03-17 00:54:42.643 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bearish Sweeping Engulfer in AAPL at 2025-03-06 13:00:00-05:00
2025-03-17 00:54:42.644 | INFO     | non_prefect_setup_scanner:find_sweeping_engulfers:712 - Found Bearish Sweeping Engulfer in AAPL at 2025-03-10 14:00:00-04:00
